agent,verb,3sg
abbreviator,abbreviate,abbreviates
abductor,abduct,abducts
abrogator,abrogate,abrogates
absolver,absolve,absolves
absorber,absorb,absorbs
abstainer,abstain,abstains
admirer,admire,admires
admonisher,admonish,admonishes
advertiser,advertise,advertises
agitator,agitate,agitates
allegorizer,allegorize,allegorizes
annoyer,annoy,annoys
appeaser,appease,appeases
apprehender,apprehend,apprehends
arguer,argue,argues
arouser,arouse,arouses
asker,ask,asks
baker,bake,bakes
betrayer,betray,betrays
bleeder,bleed,bleeds
bootlicker,bootlick,bootlicks
bumbler,bumble,bumbles
choreographer,choreograph,choreographs
complainer,complain,complains
consumer,consume,consumes
contender,contend,contends
contributor,contribute,contributes
contriver,contrive,contrives
creator,create,creates
crooner,croon,croons
defender,defend,defends
demonstrator,demonstrate,demonstrates
destroyer,destroy,destroys
devourer,devour,devours
discoverer,discover,discovers
eater,eat,eats
emancipator,emancipate,emancipates
enforcer,enforce,enforces
entertainer,entertain,entertains
equivocator,equivocate,equivocates
evaluator,evaluate,evaluates
facilitator,facilitate,facilitates
fastener,fasten,fastens
governor,govern,governs
healer,heal,heals
imitator,imitate,imitates
inquirer,inquire,inquires
inspirer,inspire,inspires
interrogator,interrogate,interrogates
inventor,invent,invents
kibitzer,kibitz,kibitzes
lingerer,linger,lingers
listener,listen,listens
loser,lose,loses
lurker,lurk,lurks
maimer,maim,maims
malingerer,malinger,malingers
masturbator,masturbate,masturbates
meddler,meddle,meddles
molester,molest,molests
motivator,motivate,motivates
mutilator,mutilate,mutilates
negotiator,negotiate,negotiates
obstructer,obstruct,obstructs
orator,orate,orates
peddler,peddle,peddles
penetrator,penetrate,penetrates
perceiver,perceive,perceives
performer,perform,performs
pesterer,pester,pesters
philanderer,philander,philanders
pleader,plead,pleads
ponderer,ponder,ponders
portrayer,portray,portrays
preacher,preach,preaches
prevaricator,prevaricate,prevaricates
prognosticator,prognosticate,prognosticates
promoter,promote,promotes
propeller,propel,propels
proposer,propose,proposes
protector,protect,protects
provider,provide,provides
receiver,receive,receives
refiner,refine,refines
reinforcer,reinforce,reinforces
reminder,remind,reminds
renovator,renovate,renovates
revolver,revolve,revolves
rider,ride,rides
scavenger,scavenge,scavenges
singer,sing,sings
skulker,skulk,skulks
slider,slide,slides
smuggler,smuggle,smuggles
softener,soften,softens
spender,spend,spends
squanderer,squander,squanders
stabilizer,stabilize,stabilizes
suggester,suggest,suggests
sympathizer,sympathize,sympathizes
undoer,undo,undoes
vibrator,vibrate,vibrates
wanderer,wander,wanders
whitener,whiten,whitens
withholder,withhold,withholds
